SampleID;Genotype;Group;treatment;SliceID;mfPerimeter;mfArea;complexity;mean complexity;BoutonID;Animal
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0004_s1;13.67095;3.627673;3.76851772472326;3.73403260124461;20201001_3_0004;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0004_s3;15.56922;4.208412;3.69954747776596;;20201001_3_0004;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0005_s1;12.605263;3.939222;3.19993719572037;3.35068421194303;20201001_3_0005;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0005_s2;13.045147;4.150261;3.14321123418503;;20201001_3_0005;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0005_s3;16.744957;4.514799;3.70890420592367;;20201001_3_0005;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0006_s1;14.464003;3.784293;3.82211498951059;3.29149306677708;20201001_3_0006;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0006_s2;9.995147;3.95711;2.52587039531375;;20201001_3_0006;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0006_s3;14.24883;4.040509;3.52649381550691;;20201001_3_0006;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0007_s1;13.460198;2.718786;4.9508118697095;4.91006516583476;20201001_3_0007;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0007_s2;12.84364;2.763145;4.64819616777259;;20201001_3_0007;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0007_s3;13.958164;2.72026;5.1311874600222;;20201001_3_0007;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0008_s1;11.45697;6.002756;1.90861830799053;2.10058713766075;20201001_3_0008;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0008_s2;13.18023;6.045276;2.18025281227855;;20201001_3_0008;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0008_s3;13.059018;5.90134;2.21289029271318;;20201001_3_0008;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0009_s1;9.448;2.053;4.60204578665368;4.26919523603804;20201001_3_0009;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0009_s2;7.603;1.907;3.98689040377556;;20201001_3_0009;2
20201001_3;WT;WT_ctrl;ctrl;20201001_3a_0009_s3;7.872;1.866;4.21864951768489;;20201001_3_0009;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0001_s1;9.494;2.861;3.31842013282069;3.42775255332972;20201001_4_0001;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0001_s2;10.335;2.83;3.65194346289753;;20201001_4_0001;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0001_s3;10.107;2.909;3.47438982468202;;20201001_4_0001;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0001_s4;10.222;2.957;3.45688197497464;;20201001_4_0001;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0001_s5;9.556;2.952;3.23712737127371;;20201001_4_0001;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006_s1;22.185;11.355;1.95376486129458;2.09573032469982;20201001_4_0006;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006_s2;21.748;11.129;1.95417378021386;;20201001_4_0006;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006_s3;24.429;11.875;2.05717894736842;;20201001_4_0006;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006_s4;21.311;10.813;1.97086839914917;;20201001_4_0006;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006_s5;19.726;7.758;2.54266563547306;;20201001_4_0006;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006b_s1;17.872;10.315;1.73262239457101;2.06424148955536;20201001_4_0006b;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006b_s2;18.358;10.078;1.82159158563207;;20201001_4_0006b;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006b_s3;18.478;8.406;2.19819176778492;;20201001_4_0006b;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006b_s4;16.202;6.469;2.50456021023342;;20201001_4_0006b;2
20201001_4;WT;WT_fsk;fsk;20201001_4_g5_0006b_s5;12.84;8.282;1.55035015696692;;20201001_4_0006b;2
