FileName;AZdist;BoutonID;Genotype;Treatment;Animal;Date;SampleID;Group
20190927_3_006-tko-ctr-PairD;255.112134894912;20190927_3_006;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_006-tko-ctr-PairD;209.43872329703;20190927_3_006;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_006-tko-ctr-PairD;402.841387193036;20190927_3_006;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_007-tko-ctr-PairD;443.17044783812;20190927_3_007;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_007-tko-ctr-PairD;260.531063478983;20190927_3_007;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_007-tko-ctr-PairD;622.61858505092;20190927_3_007;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_6_000-tko-fsk-PairD;642.927605403252;20190927_6_000;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_000-tko-fsk-PairD;695.64488230396;20190927_6_000;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_000-tko-fsk-PairD;223.327999085851;20190927_6_000;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_000-tko-fsk-PairD;427.689371243207;20190927_6_000;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_000-tko-fsk-PairD;578.513493951878;20190927_6_000;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_000-tko-fsk-PairD;505.534631281577;20190927_6_000;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_001-tko-fsk-PairD;100.924809803933;20190927_6_001;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_001-tko-fsk-PairD;263.01210162272;20190927_6_001;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_001-tko-fsk-PairD;183.852481130824;20190927_6_001;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_002-tko-fsk-PairD;366.363815719238;20190927_6_002;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_002-tko-fsk-PairD;294.563309024138;20190927_6_002;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_002-tko-fsk-PairD;143.410933016315;20190927_6_002;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;319.115825005593;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;339.687352246283;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;338.969788167028;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;206.634844196229;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;509.227680140269;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;199.531044007919;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;148.060062356464;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;428.661346245495;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;618.335637890006;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;337.78988604677;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;517.608784608695;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;757.283981858358;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;371.458758768723;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;494.858050019842;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_003-tko-fsk-PairD;321.354113135401;20190927_6_003;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_004-tko-fsk-PairD;195.412341945334;20190927_6_004;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_004-tko-fsk-PairD;454.206904942285;20190927_6_004;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_004-tko-fsk-PairD;597.843906907991;20190927_6_004;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_004-tko-fsk-PairD;286.897705113878;20190927_6_004;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_004-tko-fsk-PairD;418.96213286512;20190927_6_004;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_004-tko-fsk-PairD;160.090437534414;20190927_6_004;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_008-tko-fsk-PairD;576.315972937077;20190927_6_008;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_008-tko-fsk-PairD;501.732678204649;20190927_6_008;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_008-tko-fsk-PairD;579.120136575858;20190927_6_008;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;254.7713775642;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;306.402464854642;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;275.709047904508;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;439.410231553795;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;401.187908740081;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;233.298645470907;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;333.627839997639;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;215.237467363375;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;257.169735400883;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
20190927_6_009-tko-fsk-PairD;518.235276892465;20190927_6_009;TKO;FSK;5;20190927;20190927_6;TKO FSK
